p,q,nb_nodes,time_propagation,memory_propagation,time_louvain,memory_louvain
0.1,0.1,200,2.0595924854278564,138.4765625,1.6774544715881348,138.4765625
0.1,0.1,400,2.234330892562866,138.55859375,2.355776071548462,138.822021484375
0.1,0.1,600,1.314389705657959,140.2421875,4.408720016479492,141.00379464285714
0.1,0.1,800,1.599562168121338,142.52734375,7.29373025894165,143.91293797348484
0.3,0.1,200,2.0870511531829834,139.72265625,1.602492094039917,139.72265625
0.3,0.1,400,1.2798855304718018,140.21015625,1.6268467903137207,140.431640625
0.3,0.1,600,1.302138328552246,141.76822916666666,1.8136522769927979,142.61186079545453
0.3,0.1,800,1.525731086730957,151.890625,2.2544732093811035,153.966796875
0.5,0.1,200,2.0021467208862305,138.76491477272728,2.179276704788208,138.73828125
0.5,0.1,400,2.174966335296631,139.05422794117646,1.3767821788787842,139.61886160714286
0.5,0.1,600,1.3558039665222168,142.85026041666666,1.8556604385375977,144.93587239583334
0.5,0.1,800,2.1090025901794434,160.36838942307693,3.6596033573150635,162.93212890625
0.9,0.1,200,1.9438931941986084,139.7578125,2.1462514400482178,139.8203125
0.9,0.1,400,2.3302597999572754,141.9140625,1.5006208419799805,142.70849609375
0.9,0.1,600,1.295145034790039,153.04166666666666,2.213923215866089,157.94869791666667
0.9,0.1,800,1.5797383785247803,170.12543402777777,3.6086390018463135,181.44308035714286
